Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,DebtToIncomeRatio,LoanPurpose,SavingsAccountBalance,CheckingAccountBalance,MonthlyIncome,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalIncome,CreditScore_Income,DebtToIncome_CreditScore,InterestRate_LoanDuration,LoanApproved
43,78637,580,0,3,20,31708,60,2,0,1,205,0.301202933,2,2081,568,6553.083333,4,48514,2.46708,5.035100167821888,937.2308962,81286,45609460,174.69770114,15.21134022,0
27,39192,580,0,0,6,27868,36,0,3,3,337,0.162057014,2,1567,259,3266.0,3,20643,2.22868,4.429128819530992,1030.246932,41018,22731360,93.99306812,7.062185556,0
41,15000,533,0,0,20,26282,72,1,4,0,1042,0.332023368,3,1144,2046,1250.0,4,298319,2.7478200000000004,5.742285259371917,841.7307423,18190,7995000,176.968455144,23.7411648,0
33,28175,499,0,3,10,25059,72,2,2,2,507,0.487455595,3,5990,594,2347.916667,5,3975,2.90559,5.5843331383433785,773.1219866,34759,14059325,243.240341905,22.453039152,0
49,63456,605,0,4,26,32296,12,1,3,0,190,0.161318991,3,3194,688,5288.0,6,10865,1.94796,4.3386413887298865,2973.573808,67338,38390880,97.597989555,2.258857092,0
45,126823,460,0,4,20,21640,60,1,3,3,429,0.05095318,2,12681,2976,10568.58333,7,7906,2.9664,5.699156981519284,733.4517144,142480,58338580,23.4384628,19.48823418,0
44,76916,612,1,3,22,17795,12,1,2,3,241,0.242890504,2,3010,354,6409.666667,7,6022,1.7679500000000001,4.16549603288732,1625.957231,80280,47072592,148.648988448,2.082162864,0
49,82234,534,0,1,27,78855,48,0,1,3,346,0.211573575,1,1490,4037,6852.833333,5,31946,3.06855,5.3953697741674755,2798.581051,87761,43912956,112.98028905,13.9728072,0
48,85081,573,0,3,25,36270,108,2,0,0,295,0.073828291,1,2320,2475,7090.083333,8,51032,2.9476999999999998,5.298171401530909,924.5329951,89876,48751413,42.303610743,30.316269816,0
36,25753,526,0,3,18,24766,72,0,4,2,281,0.069508244,4,82187,595,2146.083333,2,124661,2.7676600000000002,4.912508015260636,654.0073076,108535,13546078,36.561336344,17.3755692,0
55,43382,568,0,1,35,34007,60,1,2,0,403,0.310722813,3,1187,2721,3615.166667,11,104824,2.55007,5.204469031515126,1040.17372,47290,24640976,176.490557784,16.25189874,0
39,15699,540,0,3,17,18539,48,2,2,3,152,0.127211898,4,3245,3507,1308.25,8,47209,2.43539,4.655922432773123,580.8512776,22451,8477460,68.69442491999999,10.405254576,0
42,49046,482,0,1,19,58464,96,2,1,2,629,0.63794588,1,1229,119,4087.166667,6,42660,3.5246399999999998,5.913854462192996,1819.306956,50394,23640172,307.48991416,33.574727616,0
30,20736,624,0,0,12,14723,60,2,3,3,176,0.140946791,1,6822,913,1728.0,1,66872,2.07723,4.076498497485311,362.8859261,28471,12939264,87.95079758399999,9.970704,0
37,101373,617,0,1,13,50458,48,0,0,0,821,0.327424274,3,3980,419,8447.75,8,6153,2.36958,4.935669255531614,1655.104959,105772,62547141,202.020777058,11.69319888,0
23,48067,546,0,4,0,25348,36,1,4,0,332,0.272212778,3,14752,1561,4005.583333,7,48734,2.37348,4.765531019729071,977.3905881,64380,26244582,148.628176788,8.175702924,0
24,40523,523,0,1,1,28006,24,1,2,3,568,0.513311262,1,4268,6979,3376.916667,3,2831,2.41506,4.862064983111599,1475.676114,51770,21193529,268.461790026,5.673522216,0
38,83220,611,0,3,15,37568,12,1,0,0,1212,0.320759059,3,6550,1110,6935.0,2,199510,1.97068,4.445600229440339,3475.839771,90880,50847420,195.983785049,2.371603368,0
32,53414,587,0,1,10,59363,120,1,0,0,617,0.400807796,3,288,2826,4451.166667,7,36564,3.2086300000000003,6.007982423409709,1838.095551,56528,31354018,235.274176252,43.31502336,0
28,64082,545,0,3,7,8521,36,3,0,2,821,0.059585013,0,5962,983,5340.166667,5,57086,2.21021,4.836583308493713,331.5914002,71027,34924690,32.473832085,8.421313716,0
25,25902,570,0,0,2,9529,36,0,0,3,472,0.534858269,1,2450,2397,2158.5,7,407311,2.09529,4.722789451161252,365.4208053,30749,14764140,304.86921333,8.029706472,0
44,39546,545,0,1,21,24246,48,0,0,3,394,0.880946676,3,374,1567,3295.5,2,598934,2.46746,5.4414630385586555,867.5034752,41487,21552570,480.11593842,14.2125696,0
37,47665,547,0,4,9,17784,60,1,0,2,247,0.346477149,1,4264,630,3972.083333,8,37262,2.49284,4.851215476558426,506.8135502,52559,26072755,189.523000503,14.12057496,0
45,42398,523,0,0,27,27307,60,1,1,2,347,0.068369233,1,10382,2279,3533.166667,4,10798,2.70807,4.985808650560107,799.2294896,55059,22174154,35.757108859,14.91497274,0
43,60958,601,0,3,21,30241,84,1,2,3,385,0.260877301,0,4363,5380,5079.833333,5,60924,2.54741,5.483308426488519,866.0365222,70701,36635758,156.787257901,25.256003892,0
19,48996,601,0,0,0,20591,24,1,1,1,218,0.174997591,2,1917,2996,4083.0,7,28183,1.95091,4.719292849569731,1070.988111,53909,29446596,105.173552191,5.345214,0
42,17091,587,0,1,20,16282,48,2,2,0,782,0.365146114,0,876,909,1424.25,4,6165,2.17782,4.796295049306288,521.9017235,18876,10032417,214.340768918,11.042134176,0
18,28081,547,0,0,0,29137,48,0,2,0,761,0.446665144,2,7527,520,2340.083333,4,47341,2.50637,5.265392701404141,1010.896721,36128,15360307,244.325833768,13.307692944,0
39,54613,541,2,0,13,46352,24,1,3,2,343,0.284996842,3,1692,1375,4551.083333,4,11411,2.5085200000000003,4.934182617212297,2458.696663,57680,29545633,154.183291522,5.843077944,0
42,36656,455,0,3,18,14798,36,1,1,3,448,0.349209658,3,20152,1697,3054.666667,7,1363,2.7229799999999997,5.21750841877615,605.8984885,58505,16678480,158.89039438999998,9.800061876,0
54,31960,514,0,1,27,12838,36,1,0,0,315,0.24948967,3,3228,782,2663.333333,7,5230,2.40838,5.006585622957028,510.8842001,35970,16427440,128.23769038,9.023723856,0
50,34402,504,0,3,27,16368,36,2,3,3,210,0.431162169,3,3580,593,2866.833333,6,55103,2.49368,5.080708985958554,657.8527314,38575,17338608,217.305733176,9.292897368,0
37,84123,558,0,0,11,29285,48,2,0,2,820,0.451967923,0,3569,3593,7010.25,4,1376,2.45285,4.840220170612076,945.5035216,91285,46940634,252.198101034,11.245311024,0
19,15000,521,0,3,0,34221,36,3,3,0,265,0.536389545,0,2683,4651,1250.0,5,45518,2.58721,5.238939396480933,1405.289656,22334,7815000,279.458952945,9.88073496,0
24,30684,608,0,1,1,20517,48,3,2,3,765,0.22563283,4,4427,2207,2557.0,3,31929,2.11517,4.794755968764208,657.4840944,37318,18655872,137.18476064,11.035048704,0
49,33875,583,0,1,25,29295,24,1,3,3,402,0.19113577,4,1159,373,2822.916667,2,3394,2.1279500000000002,4.884621930098582,1546.805709,35407,19749125,111.43215391,5.726287536,0
35,47054,615,0,3,15,17448,12,1,3,2,445,0.13215986,3,2507,1223,3921.166667,5,10355,1.74948,4.147583187833607,1593.017304,50784,28938210,81.2783139,2.064293556,0
64,78385,627,0,1,39,36725,84,2,0,0,232,0.787735623,0,15337,3597,6532.083333,8,274761,2.48225,5.2249623347924725,984.2528206,97319,49147395,493.910235621,22.932194376,0
34,66671,598,0,4,14,32877,60,2,0,3,1269,0.334139005,0,694,533,5555.916667,3,55606,2.38877,4.758868300342004,920.1591894,67898,39869258,199.81512499,13.5880965,0
54,19360,557,1,0,30,40796,72,1,2,0,640,0.311558958,0,3866,5928,1613.333333,4,43973,2.77296,5.132383442417373,1132.744649,29154,10783520,173.538339606,18.965779056,0
54,61301,589,0,1,32,31328,84,1,2,1,977,0.097006095,0,3185,825,5108.416667,1,69197,2.61828,5.040097171682309,801.0445046,65311,36106289,57.136589955,21.33816678,0
48,79591,623,0,1,30,17976,48,0,4,2,775,0.534087651,1,31865,527,6632.583333,3,112639,2.01476,4.677859585323185,565.2059208,111983,49585193,332.736606573,10.503537744,0
26,40077,530,0,3,2,7531,48,1,3,0,347,0.190084656,0,1520,1774,3339.75,6,94575,2.37531,4.937869216575101,247.1198566,43371,21240810,100.74486768,11.703625152,0
29,22756,568,0,0,6,21973,36,1,0,3,302,0.150255915,2,901,2941,1896.333333,6,214303,2.22973,4.9745432051596445,870.6944972,26598,12925408,85.34535971999999,8.908588836,0
62,71729,522,0,0,40,31200,36,0,1,2,532,0.286469315,1,16093,306,5977.416667,10,2584,2.5519999999999996,4.962050846172376,1234.276759,88128,37442538,149.53698243,8.863901496,0
18,16158,583,0,1,0,33277,60,1,2,0,631,0.180095041,0,14834,198,1346.5,6,4869,2.46777,5.082745537600717,993.0672814,31190,9420114,104.995408903,15.500581319999998,0
35,67123,570,0,1,14,25746,48,2,1,3,440,0.24868244,1,2825,668,5593.583333,3,21121,2.35746,4.831376284248619,830.0316543,70616,38260110,141.7489908,11.204254464,0
50,90324,581,0,3,22,22468,60,1,4,0,271,0.181989555,0,6213,4256,7527.0,5,10670,2.3696800000000002,4.939179648484149,651.5267138,100793,52478244,105.735931455,14.63729736,0
54,62707,636,0,3,33,24214,96,1,2,3,767,0.248993111,2,2863,1546,5225.583333,6,7772,2.41214,4.668029380798711,534.7213562,67116,39881652,158.359618596,20.918878368,0
51,54149,626,0,4,32,30438,60,1,1,2,597,0.145558274,4,1562,269,4512.416667,7,38539,2.22438,4.632932721290047,831.4158487,55980,33897274,91.119479524,12.878439360000002,0
29,31473,527,0,1,4,21217,36,1,0,1,221,0.226497655,3,1452,883,2622.75,7,83865,2.42717,4.82244467049649,824.1374841,33808,16586271,119.364264185,8.372150136,0
37,30209,530,0,0,13,29777,96,0,0,2,554,0.177449485,3,218,1080,2517.416667,5,100775,2.99777,5.675228841201031,867.449339,31507,16010770,94.04822705,30.919893504,0
51,16455,528,0,3,27,34742,36,1,0,2,353,0.288124017,1,7906,980,1371.25,4,62648,2.5574200000000005,5.266451746669668,1432.094057,25341,8688240,152.129480976,9.98478504,0
34,31763,530,0,3,12,24147,36,1,1,0,281,0.597695078,0,14930,4507,2646.916667,2,17716,2.44147,4.548500170385838,905.8868271,51200,16834390,316.77839134,7.447987368000001,0
47,33277,652,0,0,26,59973,36,1,1,3,966,0.176543689,2,4741,921,2773.083333,2,6551,2.18973,4.677670648944835,2286.693306,38939,21696604,115.106485228,7.877016972,0
24,101122,533,0,3,1,66350,60,0,2,3,497,0.174780774,1,1023,1381,8426.833333,2,314835,3.0485,5.656894687016898,2228.884784,103526,53898026,93.158152542,19.2002745,0
30,32710,594,0,3,6,19954,12,1,0,1,366,0.038903959,0,3169,2158,2725.833333,4,1503,1.87954,4.1717180753258,1823.720221,38037,19429740,23.108951646,2.088387804,0
51,73459,617,0,4,29,40596,96,2,1,0,269,0.273569826,1,6899,532,6121.583333,2,8654,2.67096,5.087983048320818,1005.329186,80890,45324203,168.792582642,24.85206864,0
54,15000,656,0,0,32,26534,60,2,3,3,399,0.22935701,1,9383,1790,1250.0,3,171463,2.0353399999999997,4.434093289501248,697.9958144,26173,9840000,150.45819856,11.79670998,0
45,23167,540,0,3,19,36272,48,0,0,2,689,0.330886489,3,9379,2712,1930.583333,5,71969,2.61272,5.236355736578638,1252.136298,35258,12510180,178.67870406,13.161322272,0
23,41485,498,0,3,0,19068,12,0,1,1,494,0.326899846,1,8388,2977,3457.083333,7,1522,2.35068,4.628439164556449,1779.361733,52850,20659530,162.796123308,2.570693892,0
51,55942,671,0,4,27,17652,48,2,0,3,291,0.153375903,3,1050,473,4661.833333,4,22277,1.77152,4.402861444560798,531.3915265,57465,37537082,102.915230913,9.304890672,0
45,25100,487,0,0,19,48592,36,1,3,1,733,0.155026408,3,1752,201,2091.666667,5,61128,2.90092,4.817401789346619,1886.238485,27053,12223700,75.497860696,8.3546496,0
38,32459,550,0,1,16,20654,60,1,2,3,280,0.126106621,1,1774,2027,2704.916667,4,33178,2.5065399999999998,5.240449274632853,636.3961079,36260,17852450,69.35864155,16.47738516,0
38,51627,628,0,1,14,25894,36,1,1,3,389,0.423613102,3,3367,7573,4302.25,4,9253,1.9689400000000001,4.507809090899924,966.5455361,62567,32421756,266.029028056,7.315323407999999,0
40,53202,469,0,3,17,19409,96,1,2,3,518,0.175508433,0,3420,1474,4433.5,8,2030,3.19909,5.815610561239465,587.8089929,58096,24951738,82.313455077,32.468473152,0
29,28020,602,2,0,4,66136,12,1,1,1,307,0.051048356,2,2444,7171,2335.0,5,12747,2.30136,4.618528802551739,6168.67761,37635,16868040,30.731110312,2.559696996,0
30,93220,581,0,3,8,19200,60,1,1,3,223,0.579006725,2,1963,684,7768.333333,5,39226,2.3369999999999997,4.8550379607166825,547.5787327,95867,54160820,336.40290722500004,14.142836160000002,0
35,33319,607,0,4,17,25882,48,0,0,2,242,0.408214271,0,4518,426,2776.583333,4,5173,2.17382,4.450004258424929,784.8782464,38263,20224633,247.786062497,9.505218192,0
